sPWM: 0.000000, RPM: 0.000000

PWM: 0.000000, RPM: 0.000000

PWM: 0.000000, RPM: 0.000000

PWM: 47.444100, RPM: 0.000000

PWM: 47.836200, RPM: 0.000000

PWM: 48.228300, RPM: 0.000000

PWM: 48.620400, RPM: 0.000000

PWM: 49.012500, RPM: 0.000000

PWM: 49.404600, RPM: 0.000000

PWM: 49.796700, RPM: 0.000000

PWM: 50.188800, RPM: 0.000000

PWM: 50.580900, RPM: 0.000000

PWM: 50.973000, RPM: 0.000000

PWM: 51.365100, RPM: 0.000000

PWM: 51.757200, RPM: 0.000000

PWM: 52.149300, RPM: 0.000000

PWM: 52.541400, RPM: 0.000000

PWM: 52.933500, RPM: 0.000000

PWM: 53.325600, RPM: 0.000000

PWM: 53.717700, RPM: 0.000000

PWM: 54.109800, RPM: 0.000000

PWM: 54.501900, RPM: 0.000000

PWM: 54.894000, RPM: 0.000000

PWM: 55.286100, RPM: 0.000000

PWM: 55.678200, RPM: 0.000000

PWM: 56.070300, RPM: 0.000000

PWM: 56.462400, RPM: 0.000000

PWM: 56.854500, RPM: 0.000000

PWM: 57.246600, RPM: 0.000000

PWM: 57.638700, RPM: 308.571411

PWM: 58.030800, RPM: 308.571411

PWM: 58.422900, RPM: 308.571411

PWM: 58.815000, RPM: 308.571411

PWM: 59.207100, RPM: 308.571411

PWM: 59.599200, RPM: 308.571411

PWM: 59.991300, RPM: 308.571411

PWM: 60.383400, RPM: 308.571411

PWM: 60.775500, RPM: 308.571411

PWM: 61.167600, RPM: 308.571411

PWM: 61.559700, RPM: 308.571411

PWM: 61.951800, RPM: 308.571411

PWM: 62.343900, RPM: 308.571411

PWM: 62.736000, RPM: 308.571411

PWM: 63.128100, RPM: 308.571411

PWM: 63.520200, RPM: 308.571411

PWM: 63.912300, RPM: 308.571411

PWM: 64.304400, RPM: 308.571411

PWM: 64.696500, RPM: 308.571411

PWM: 65.088600, RPM: 308.571411

PWM: 65.480700, RPM: 308.571411

PWM: 65.872800, RPM: 308.571411

PWM: 66.264900, RPM: 308.571411

PWM: 66.657000, RPM: 308.571411

PWM: 67.049100, RPM: 308.571411

PWM: 67.441200, RPM: 308.571411

PWM: 67.833300, RPM: 308.571411

PWM: 68.225400, RPM: 308.571411

PWM: 68.617500, RPM: 308.571411

PWM: 69.009600, RPM: 308.571411

PWM: 69.401700, RPM: 308.571411

PWM: 69.793800, RPM: 308.571411

PWM: 70.185900, RPM: 308.571411

PWM: 70.578000, RPM: 308.571411

PWM: 70.185900, RPM: 308.571411

PWM: 69.793800, RPM: 642.857178

PWM: 69.401700, RPM: 642.857178

PWM: 69.009600, RPM: 642.857178

PWM: 68.617500, RPM: 642.857178

PWM: 68.225400, RPM: 642.857178

PWM: 67.833300, RPM: 642.857178

PWM: 67.441200, RPM: 642.857178

PWM: 67.049100, RPM: 642.857178

PWM: 66.657000, RPM: 642.857178

PWM: 66.264900, RPM: 642.857178

PWM: 65.872800, RPM: 642.857178

PWM: 65.480700, RPM: 685.714294

PWM: 65.088600, RPM: 685.714294

PWM: 64.696500, RPM: 685.714294

PWM: 64.304400, RPM: 685.714294

PWM: 63.912300, RPM: 685.714294

PWM: 63.520200, RPM: 685.714294

PWM: 63.128100, RPM: 685.714294

PWM: 62.736000, RPM: 685.714294

PWM: 62.343900, RPM: 685.714294

PWM: 61.951800, RPM: 685.714294

PWM: 61.559700, RPM: 685.714294

PWM: 61.167600, RPM: 651.428528

PWM: 60.775500, RPM: 651.428528

PWM: 60.383400, RPM: 651.428528

PWM: 59.991300, RPM: 651.428528

PWM: 59.599200, RPM: 651.428528

PWM: 59.207100, RPM: 651.428528

PWM: 58.815000, RPM: 651.428528

PWM: 58.422900, RPM: 651.428528

PWM: 58.030800, RPM: 651.428528

PWM: 57.638700, RPM: 651.428528

PWM: 57.246600, RPM: 651.428528

PWM: 56.854500, RPM: 608.571472

PWM: 56.462400, RPM: 608.571472

PWM: 56.070300, RPM: 608.571472

PWM: 55.678200, RPM: 608.571472

PWM: 55.286100, RPM: 608.571472

PWM: 54.894000, RPM: 608.571472

PWM: 54.501900, RPM: 608.571472

PWM: 54.109800, RPM: 608.571472

PWM: 53.717700, RPM: 608.571472

PWM: 53.325600, RPM: 608.571472

PWM: 52.933500, RPM: 608.571472

PWM: 52.541400, RPM: 565.714294

PWM: 52.149300, RPM: 565.714294

PWM: 51.757200, RPM: 565.714294

PWM: 51.365100, RPM: 565.714294

PWM: 50.973000, RPM: 565.714294

PWM: 50.580900, RPM: 565.714294

PWM: 50.188800, RPM: 565.714294

PWM: 49.796700, RPM: 565.714294

PWM: 49.404600, RPM: 565.714294

PWM: 49.012500, RPM: 565.714294

PWM: 48.620400, RPM: 565.714294

PWM: 48.228300, RPM: 505.714294

PWM: 47.836200, RPM: 505.714294

PWM: 47.444100, RPM: 505.714294

PWM: 47.052000, RPM: 505.714294

PWM: 46.659900, RPM: 505.714294

PWM: 46.267800, RPM: 505.714294

PWM: 45.875700, RPM: 505.714294

PWM: 45.483600, RPM: 505.714294

PWM: 45.091500, RPM: 505.714294

PWM: 44.699400, RPM: 505.714294

PWM: 44.307300, RPM: 505.714294

PWM: 43.915200, RPM: 428.571411

PWM: 43.523100, RPM: 428.571411

PWM: 43.131000, RPM: 428.571411

PWM: 42.738900, RPM: 428.571411

PWM: 42.346800, RPM: 428.571411

PWM: 41.954700, RPM: 428.571411

PWM: 41.562600, RPM: 428.571411

PWM: 41.170500, RPM: 428.571411

PWM: 40.778400, RPM: 428.571411

PWM: 40.386300, RPM: 428.571411

PWM: 39.994200, RPM: 428.571411

PWM: 39.602100, RPM: 428.571411

PWM: 39.210000, RPM: 428.571411

